Section 1: Technical Calculations;;;;;;;;;;;;;;;;;;;;;;;;;;
Variable;Parameter;Value;Unit;Notes;;;;;;;;;;;;;;;;;;;;;;
SWROC;SWRO Installed Capacity (Nominal); 800,00 ;m3/day;Target average daily output for population/industry;;;;;;;;;;;;;;;;;;;;;;
OPSR;Operational Schedule Ratio (avail.);95%;percent;Uptime after maintenance/downtime;;;;;;;;;;;;;;;;;;;;;;
SWROP;SWRO Output per Year; 277.400,00 ;m3/year;SWROC x OPSR x 365;;;;;;;;;;;;;;;;;;;;;;
FEEDR;Feedwater Intake Requirement; 1.454,55 ;m3/day;Typical recovery 55 percent (RO ratio);;;;;;;;;;;;;;;;;;;;;;
ENE;SWRO Specific Energy Consumption; 3,17 ;kWh/m3;Conservative, with WHR effect (~5% less than baseline);;;;;;;;;;;;;;;;;;;;;;
ENEBASE;Baseline SWRO SEC (no WHR); 3,40 ;kWh/m3;Reference for efficiency comparison;;;;;;;;;;;;;;;;;;;;;;
ENEYEAR;Annual Energy Use; 880.319,79 ;kWh/year;SWRO Output x ENE;;;;;;;;;;;;;;;;;;;;;;
WHRU;WHR Utilization Temperature Gain; 2,22 ;Celsius;From HFCG, annual-averaged;;;;;;;;;;;;;;;;;;;;;;
PRSWRO;SWRO Plant Recovery Ratio;55%;percent;Feedwater converted to product water;;;;;;;;;;;;;;;;;;;;;;
FWI;Feedwater Salinity Input; 38.000,00 ;mg/L;Sea/brackish water (East Java islands);;;;;;;;;;;;;;;;;;;;;;
PROD;Product Water Salinity (output); 500,00 ;mg/L;Meets PDAM potable standards;;;;;;;;;;;;;;;;;;;;;;
MEMB;Membrane Type; SWRO Polyamide ;-;High-rejection, industry standard;;;;;;;;;;;;;;;;;;;;;;
MEMBLIFE;Membrane Life Span; 6,00 ;years;Typical, with cleaning;;;;;;;;;;;;;;;;;;;;;;
CHEM;Chemical Consumption; 2,50 ;g/m3;Antiscalants/cleaning per m3 output;;;;;;;;;;;;;;;;;;;;;;
CHEMYEAR;Annual Chemical Use; 693,50 ;kg/year;CHEM x SWRO Output;;;;;;;;;;;;;;;;;;;;;;
REPL;Major Replacements Interval; 6,00 ;years;Membrane/pump replacement;;;;;;;;;;;;;;;;;;;;;;
STAFF;Staffing Requirement; 8,00 ;FTE;O&M and monitoring;;;;;;;;;;;;;;;;;;;;;;
TANK;Product Water Storage; 250,00 ;m3;Buffer stock for downtime/peak hours;;;;;;;;;;;;;;;;;;;;;;
PIPE;Distribution Pipe Output (Main Island); 1.000,00 ;m;To PDAM tie-in;;;;;;;;;;;;;;;;;;;;;;
SITE;Siting Elevation; 2,00 ;m;Near coastline, WHR access;;;;;;;;;;;;;;;;;;;;;;
GRID;Electricity Source; PLN ;-;Tariff per hackathon scenario;;;;;;;;;;;;;;;;;;;;;;
EMI;Emissions Factor (electricity); 0,95 ;tCO2/MWh;PLN standard reference;;;;;;;;;;;;;;;;;;;;;;
REUSED;Brine Reuse Potential;10%;percent;For ice/fish pond pilot use;;;;;;;;;;;;;;;;;;;;;;
PLN;PLN Electricity Cost; $0,09 ;USD/kWh;;;;;;;;;;;;;;;;;;;;;;;
CONV;USD to IDR; Rp16.770,00 ;IDR;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Section 2: Clean Water Production and Storage Calculations;;;;;;;;;;;;;;;;;;;;;;;;;;
Variable;Parameter Description;Value;Unit;Calculation Formula / Reference;;;;;;;;;;;;;;;;;;;;;;
SWROP;SWRO Output per Year; 277.400,00 ;m3/year;SWROC _ OPSR _ 365;;;;;;;;;;;;;;;;;;;;;;
ENEYEAR;Annual Energy Use; 880.319,79 ;kWh/year;SWROP _ ENE;;;;;;;;;;;;;;;;;;;;;;
FEEDR;Feedwater Intake Requirement (daily); 1.454,55 ;m3/day;SWROC / PRSWRO _ 100;;;;;;;;;;;;;;;;;;;;;;
FEEDYEAR;Annual Feedwater Requirement; 504.363,64 ;m3/year;FEEDR _ OPSR _ 365;;;;;;;;;;;;;;;;;;;;;;
CHEMYEAR;Annual Chemical Use; 693,50 ;kg/year;CHEM _ SWROP;;;;;;;;;;;;;;;;;;;;;;
CHEMCOST;Annual Chemical Cost; 827,07 ;USD/year;CHEMYEAR _ 20.000 idr/kg;;;;;;;;;;;;;;;;;;;;;;
MEMBRAIN;Number of Membrane Units;16;unit;Based on SWROC, manufacturer design (insert after design);;;;;;;;;;;;;;;;;;;;;;
MEMBREP;Annual Membrane Replacement Cost; $2.385,21 ;USD/year;(MEMBLIFE Ö 365) _ 15.000.000 IDR _ MEMBRAIN;;;;;;;;;;;;;;;;;;;;;;
OPEXTOTAL;Total Annual OPEX (est.); $171.647,98 ;IDR/year;Energy cost + CHEMCOST + MEMBREP + labor + other;;;;;;;;;;;;;;;;;;;;;;
ENECOST;Annual Electricity Cost; $79.228,78 ;USD/year;ENEYEAR _ electricity tariff (see GRID/PLN price);;;;;;;;;;;;;;;;;;;;;;
LABCOST;Annual Labor Cost; $89.206,92 ;USD/year;STAFF _ average salary _ 12;;;;;;;;;;;;;;;;;;;;;;
PRODUCT;Product Water Delivered (daily);800;m3/day;SWROC;;;;;;;;;;;;;;;;;;;;;;
WHRSAVE;Energy Saved by WHR;66.148;kWh/year;(ENEBASE _ ENE) _ SWROP;;;;;;;;;;;;;;;;;;;;;;
WHRMONEY;Money Saved by WHR; $5.953,28 ;IDR/year;WHRSAVE _ electricity tariff;;;;;;;;;;;;;;;;;;;;;;
BRIYIELD;Brine Output per Day; 654,55 ;m3/day;FEEDR _ SWROC;;;;;;;;;;;;;;;;;;;;;;
BRIYEAR;Brine Output per Year; 226.963,64 ;m3/year;BRIYIELD _ OPSR _ 365;;;;;;;;;;;;;;;;;;;;;;
REUWAR;Brine Reused per Year; 22.696,36 ;m3/year;BRIYEAR _ REUSED Ö 100;;;;;;;;;;;;;;;;;;;;;;
CAPINIT;Initial CAPEX Estimate; $1.900.000,00 ;IDR/unit;Construction + equipment + buffer tanks + installation;;;;;;;;;;;;;;;;;;;;;;
MAJREP;Major Replacement CAPEX (every 6 yr); $36.000,00 ;USD/6 years;For membranes, HP pumps, relayed as CAPEX in year n;;;;;;;;;;;;;;;;;;;;;;
CARBcUT;Annual CO2 Saving (grid offset);836,30;tCO2/year;ENEYEAR _ EMI Ö 1000;;;;;;;;;;;;;;;;;;;;;;
TANKBUFF;Buffer Storage Days;0,3125;day;TANK Ö SWROC;;;;;;;;;;;;;;;;;;;;;;
SALLARY;Staff Salary for Chem Treatment; Rp187.000.000,00 ;IDR/year;;;;;;;;;;;;;;;;;;;;;;;
;OPEX Inflation per year;2,5%;per year;;;;;;;;;;;;;;;;;;;;;;;
;Rate for BLT;16%;;;;;;;;;;;;;;;;;;;;;;;;
;Service Fee for SWRO (% of CAPEX);4,00%;;;;;;;;;;;;;;;;;;;;;;;;
;Asset Lifetime;20;years;;;;;;;;;;;;;;;;;;;;;;;
;Loan Percentage (% of CAPEX);30%;;;;;;;;;;;;;;;;;;;;;;;;
;Loan Amount (USD); $161.713,13 ;USD;;;;;;;;;;;;;;;;;;;;;;;
;Loan Interest (%);7%;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Section 3: Efficiency Gain from Intergration of WHR;;;;;;;;;;;;;;;;;;;;;;;;;;
Variable;Parameter Description;Value;Unit;Calculation Formula / Reference;;;;;;;;;;;;;;;;;;;;;;
HPD;Hydrogen Produced per Day; 123,97 ;kg/day;From electrolyzer/HFCG calculations;;;;;;;;;;;;;;;;;;;;;;
HFCG_EFF;HFCG Electrical Efficiency;0,5;-;Input efficiency of fuel cell generator;;;;;;;;;;;;;;;;;;;;;;
H_H2;LHV of H_;33,33;kWh/kg;Lower Heating Value of H_;;;;;;;;;;;;;;;;;;;;;;
HFCGO;HFCG Output (electrical);2.065,94;kWh/day;HPD _ H_H2 _ HFCG_EFF;;;;;;;;;;;;;;;;;;;;;;
HFCG_HEAT;Waste Heat Generated per Day;2.065,94;kWh/day;HPD _ H_H2 _ (1 _ HFCG_EFF);;;;;;;;;;;;;;;;;;;;;;
WATERMASS;Water to be pre-heated (SWRO feed);800.000;kg/day;SWROC _ 1.000 (density, 1 m_ = 1.000 kg);;;;;;;;;;;;;;;;;;;;;;
